,pIC50,pred,residual,squared,leverage,standard
6,6.308034897,6.332438302,-0.024403405,0.000595526,0.211322263,-0.100081183
1339,7.397940009,7.422788051,-0.024848042,0.000617425,0.179307656,-0.101904692
212,7.632644079,7.657671619,-0.02502754,0.000626378,0.215195282,-0.102640833
714,5.30980392,5.334778193,-0.024974273,0.000623714,0.107411389,-0.102422379
1011,5.397940009,5.422694384,-0.024754375,0.000612779,0.221165737,-0.10152055
1244,7.397940009,7.373404,0.024536009,0.000602016,0.158399071,0.100625007
705,5.508638306,5.484286066,0.02435224,0.000593032,0.233529724,0.099871347
516,5.978810701,5.953774934,0.025035767,0.00062679,0.149811146,0.102674573
120,8.346787486,8.321598449,0.025189037,0.000634488,0.178121746,0.103303148
1461,6.397940009,6.373174449,0.02476556,0.000613333,0.135141667,0.10156642
1327,7.397940009,7.37297951,0.024960499,0.000623027,0.181565249,0.10236589
1494,5.360513511,5.385395011,-0.0248815,0.000619089,0.167485077,-0.102041903
965,5.173925197,5.198965284,-0.025040087,0.000627006,0.151584689,-0.102692289
1154,5.173925197,5.149051491,0.024873706,0.000618701,0.17118625,0.102009943
1667,5.657577319,5.633074171,0.024503148,0.000600404,0.197226748,0.100490242
313,7.879426069,7.903761243,-0.024335174,0.000592201,0.133847286,-0.099801359
1265,6.397940009,6.373196177,0.024743832,0.000612257,0.160906637,0.101477314
580,4.68613278,4.6610468,0.02508598,0.000629306,0.205592721,0.102880499
309,7.772113295,7.747386315,0.02472698,0.000611424,0.161415231,0.101408199
745,5.657577319,5.633097119,0.0244802,0.00059928,0.289697233,0.100396129
1683,5.210419288,5.235256221,-0.024836933,0.000616873,0.219505292,-0.101859129
358,5.519849275,5.494706756,0.025142519,0.000632146,0.175887484,0.103112376
508,5.058985756,5.034188564,0.024797192,0.000614901,0.141591792,0.101696147
198,7.754487332,7.779420646,-0.024933314,0.00062167,0.170448909,-0.1022544
442,5.123205024,5.144564426,-0.021359402,0.000456224,0.163830197,-0.087597373
632,6.397940009,6.372930145,0.025009864,0.000625493,0.149214757,0.102568339
803,5.657577319,5.650149036,0.007428283,5.52E-05,0.189400677,0.030464246
875,5.091514981,5.066530427,0.024984554,0.000624228,0.201458593,0.102464542
1074,5.236572006,5.211584566,0.02498744,0.000624372,0.246474456,0.102476376
1196,6.397940009,6.423012767,-0.025072758,0.000628643,0.157722867,-0.102826276
1430,6.397940009,6.378229445,0.019710564,0.000388506,0.186852343,0.0808353
1100,5.886056648,5.91061564,-0.024558992,0.000603144,0.200118925,-0.100719263
1583,5.09420412,5.118959182,-0.024755062,0.000612813,0.201665333,-0.101523367
1669,5.591760035,5.616502111,-0.024742076,0.00061217,0.234942416,-0.101470112
1205,5.026872146,5.051932324,-0.025060178,0.000628013,0.239888225,-0.102774683
47,7.756961951,7.732358443,0.024603508,0.000605333,0.135399037,0.100901829
1218,5.397940009,5.422389704,-0.024449695,0.000597788,0.279408109,-0.100271025
1523,5.756961951,5.781556629,-0.024594678,0.000604898,0.201888026,-0.100865613
797,5.070581074,5.095447174,-0.0248661,0.000618323,0.218456485,-0.101978747
1139,5.070581074,5.095695942,-0.025114868,0.000630757,0.195188094,-0.102998975
865,4.876148359,4.851176182,0.024972177,0.00062361,0.217957976,0.10241378
756,5.119186408,5.143848709,-0.024662301,0.000608229,0.18367499,-0.101142946
847,5.638272164,5.613355413,0.024916751,0.000620844,0.18529287,0.102186474
147,7.578396073,7.603175273,-0.0247792,0.000614009,0.157570782,-0.10162236
614,5.016373713,5.041350688,-0.024976975,0.000623849,0.17838658,-0.10243346
106,7.721246399,7.69642174,0.024824659,0.000616264,0.100203115,0.101808795
616,5.13667714,5.112116911,0.024560229,0.000603205,0.166681041,0.100724335
46,7.404503778,7.379337855,0.025165923,0.000633324,0.154404462,0.103208358
108,6.931814138,6.95662474,-0.024810602,0.000615566,0.140860128,-0.101751143
499,6.13667714,6.161730763,-0.025053623,0.000627684,0.147994955,-0.102747801
143,8.13667714,8.111554732,0.025122408,0.000631135,0.189809955,0.103029898
1246,6.397940009,6.372974755,0.024965254,0.000623264,0.169809053,0.102385389
449,3.89279003,3.917722042,-0.024932012,0.000621605,0.308913313,-0.102249061
1156,6.397940009,6.373326753,0.024613256,0.000605812,0.207839451,0.100941806
579,5.085128182,5.060279171,0.024849011,0.000617473,0.134056581,0.101908666
672,5.119186408,5.144316159,-0.025129751,0.000631504,0.17730763,-0.10306001
156,7.247951552,7.223246499,0.024705053,0.00061034,0.284884832,0.101318277
357,6.191249028,6.16643775,0.024811278,0.000615599,0.208001278,0.101753915
1414,7.397940009,7.373259337,0.024680672,0.000609136,0.1864696,0.101218288
1256,5.657577319,5.640297746,0.017279573,0.000298584,0.151169708,0.070865523
924,5.397940009,5.409689458,-0.011749449,0.00013805,0.154182965,-0.048185847
1524,6.397940009,6.373471961,0.024468048,0.000598685,0.227596464,0.10034629
233,6.346787486,6.321711669,0.025075817,0.000628797,0.279605216,0.102838821
1050,5.886056648,5.910573498,-0.02451685,0.000601076,0.180984575,-0.100546432
1095,5.886056648,5.911185557,-0.025128909,0.000631462,0.165167309,-0.103056556
1557,6.236572006,6.211566721,0.025005285,0.000625264,0.200203125,0.102549562
504,6.468521083,6.443568846,0.024952237,0.000622614,0.134453723,0.102332007
1239,5.657577319,5.682688647,-0.025111328,0.000630579,0.124731532,-0.102984457
1122,5.236572006,5.211394177,0.025177829,0.000633923,0.23069739,0.103257185
173,8.455931956,8.431192289,0.024739667,0.000612051,0.216903468,0.101460231
336,8.585026652,8.559979112,0.02504754,0.000627379,0.116800406,0.102722856
539,4.76700389,4.742508295,0.024495595,0.000600034,0.190387883,0.100459265
543,7.034798299,7.010219211,0.024579088,0.000604132,0.197266817,0.100801677
146,7.68613278,7.710764526,-0.024631746,0.000606723,0.171645405,-0.101017634
776,5.397940009,5.373075608,0.024864401,0.000618238,0.152737924,0.101971781
726,5.119186408,5.144099002,-0.024912594,0.000620637,0.25382506,-0.102169427
1404,6.397940009,6.422864909,-0.0249249,0.000621251,0.208876303,-0.102219892
1141,5.026872146,5.05199098,-0.025118834,0.000630956,0.210524771,-0.103015241
440,6.036212173,6.011637255,0.024574918,0.000603927,0.16543854,0.100784577
1590,6.397940009,6.373058781,0.024881228,0.000619076,0.194341603,0.102040791
1469,6.397940009,6.422889253,-0.024949244,0.000622465,0.149151472,-0.10231973
411,4.482540173,4.507657421,-0.025117248,0.000630876,0.191854144,-0.103008736
215,6.73754891,6.752268647,-0.014719737,0.000216671,0.255313002,-0.06036734
1326,6.397940009,6.37284662,0.025093389,0.000629678,0.191934613,0.102910885
192,7.903089987,7.87812037,0.024969617,0.000623482,0.145328655,0.102403282
1268,6.397940009,6.423055973,-0.025115964,0.000630812,0.164966072,-0.103003471
1609,7.397940009,7.372902504,0.025037505,0.000626877,0.197718395,0.102681698
590,5.107348966,5.132355568,-0.025006602,0.00062533,0.25387217,-0.102554961
1297,6.397940009,6.372790449,0.02514956,0.0006325,0.230224599,0.10314125
839,3.850780887,3.875853265,-0.025072378,0.000628624,0.205411848,-0.102824717
395,4.523023534,4.547939298,-0.024915764,0.000620795,0.177219212,-0.102182425
1500,6.173925197,6.148916878,0.025008319,0.000625416,0.172560306,0.102562005
581,5.01278077,4.987954977,0.024825793,0.00061632,0.169594255,0.101813443
262,6.15490196,6.129797984,0.025103976,0.00063021,0.272319782,0.102954304
1361,7.397940009,7.422802163,-0.024862154,0.000618127,0.158586435,-0.101962567
37,7.860120914,7.88517866,-0.025057746,0.000627891,0.111368796,-0.10276471
429,4.93930216,4.964117389,-0.024815229,0.000615796,0.150926433,-0.101770118
1300,5.508638306,5.533475182,-0.024836876,0.00061687,0.200619115,-0.101858899
1233,5.886056648,5.91101534,-0.024958692,0.000622936,0.177173361,-0.102358479
838,5.657577319,5.633102136,0.024475183,0.000599035,0.230748897,0.100375552
140,7.735182177,7.760389784,-0.025207607,0.000635423,0.156931866,-0.103379309
655,5.508638306,5.533468576,-0.02483027,0.000616542,0.16034945,-0.101831806
851,4.147520006,4.171981926,-0.02446192,0.000598386,0.265271958,-0.100321159
345,7.76700389,7.791852516,-0.024848626,0.000617454,0.195658533,-0.101907084
1282,5.508638306,5.533574498,-0.024936192,0.000621814,0.235656623,-0.102266202
251,5.341035157,5.316166447,0.02486871,0.000618453,0.292987584,0.101989452
1038,5.026872146,5.051619287,-0.024747141,0.000612421,0.21561718,-0.101490882
563,5.170696227,5.195725192,-0.025028965,0.000626449,0.176744411,-0.102646677
205,8.086186148,8.060988271,0.025197877,0.000634933,0.130707202,0.103339405
644,5.119186408,5.14407492,-0.024888512,0.000619438,0.183025419,-0.102070663
1634,5.002613616,5.027631621,-0.025018005,0.000625901,0.138533822,-0.102601727
501,6.366531544,6.341434168,0.025097376,0.000629878,0.215081947,0.102927237
1085,5.30980392,5.334815027,-0.025011107,0.000625555,0.212487953,-0.102573439
562,5.253365801,5.278450123,-0.025084322,0.000629223,0.233777136,-0.102873702
1456,7.397940009,7.003723929,0.39421608,0.155406318,0.183640133,1.616725675
801,5.508638306,5.483473159,0.025165147,0.000633285,0.162560992,0.103205173
410,4.948847478,4.924290065,0.024557413,0.000603067,0.137363005,0.100712789
888,5.236572006,5.261591829,-0.025019823,0.000625992,0.197943042,-0.102609185
1096,6.397940009,6.37325458,0.024685429,0.00060937,0.244178521,0.101237794
706,5.173925197,5.198535419,-0.024610222,0.000605663,0.228025845,-0.100929365
21,6.280668713,6.30530601,-0.024637297,0.000606996,0.216860679,-0.101040399
178,6.790484985,6.765379156,0.025105829,0.000630303,0.128565035,0.102961903
133,8.744727495,8.719913692,0.024813803,0.000615725,0.176017172,0.10176427
782,5.30980392,5.334786658,-0.024982738,0.000624137,0.2296203,-0.102457096
630,5.30980392,5.334615737,-0.024811817,0.000615626,0.168128091,-0.101756127
1042,8.397940009,7.739801271,0.658138738,0.433146599,0.186791567,2.699102976
913,5.236572006,5.211675684,0.024896322,0.000619827,0.158705845,0.102102694
398,5.006123085,5.030610762,-0.024487677,0.000599646,0.142296665,-0.100426791
1336,5.886056648,5.861151233,0.024905415,0.00062028,0.20098382,0.102139985
1234,6.397940009,6.372975898,0.024964111,0.000623207,0.180987871,0.102380701
387,6.447331784,6.472539257,-0.025207473,0.000635417,0.175233597,-0.103378757
93,8.124938737,8.14985103,-0.024912293,0.000620622,0.116961643,-0.10216819
392,6.565431096,6.691278788,-0.125847692,0.015837642,0.117107485,-0.51611592
142,7.823908741,7.848991555,-0.025082814,0.000629148,0.148833568,-0.102867517
187,8.346787486,7.927956258,0.418831228,0.175419598,0.086273505,1.717675239
208,7.268411235,7.293175512,-0.024764277,0.000613269,0.115040627,-0.101561161
1445,5.657577319,5.699780697,-0.042203378,0.001781125,0.13066255,-0.173080927
397,5.100179498,5.075526959,0.024652539,0.000607748,0.159131126,0.10110291
624,4.617982957,4.593167693,0.024815264,0.000615797,0.181946636,0.101770265
1552,5.576754126,5.55171993,0.025034196,0.000626711,0.160633434,0.102668128
748,5.30980392,5.334647031,-0.024843111,0.00061718,0.252205844,-0.101884467
990,5.173925197,5.198975972,-0.025050775,0.000627541,0.207033237,-0.102736121
1460,5.657577319,5.682153934,-0.024576615,0.00060401,0.201554294,-0.100791536
814,5.397940009,5.37307806,0.024861949,0.000618117,0.206023933,0.101961726
1296,7.397940009,7.373234944,0.024705065,0.00061034,0.248743483,0.101318325
361,6.051831638,6.026553074,0.025278564,0.000639006,0.175519056,0.103670311
68,8.113509275,8.088695664,0.024813611,0.000615715,0.139644976,0.101763484
1301,5.173925197,5.52149899,-0.347573793,0.120807541,0.168063363,-1.425440267
1406,6.397940009,6.373487182,0.024452827,0.000597941,0.154877512,0.100283866
424,5.216096421,5.240587021,-0.0244906,0.000599789,0.189953194,-0.100438778
806,5.30980392,5.335058409,-0.025254489,0.000637789,0.210512139,-0.103571576
845,4.058488567,4.0834365,-0.024947933,0.000622399,0.183054048,-0.102314356
267,5.995678626,5.970895851,0.024782775,0.000614186,0.271103253,0.101637024
1581,6.173925197,6.148857462,0.025067735,0.000628391,0.183439312,0.102805676
1228,5.236572006,5.244513773,-0.007941767,6.31E-05,0.210653827,-0.032570102
1415,7.397940009,7.289657483,0.108282526,0.011725105,0.180878347,0.444079144
1373,7.397940009,7.423045236,-0.025105227,0.000630272,0.148185921,-0.102959436
330,7.728158393,7.703392615,0.024765778,0.000613344,0.142008715,0.101567317
278,8.036212173,8.011382117,0.024830056,0.000616532,0.146164854,0.101830929
926,5.657577319,5.682424546,-0.024847227,0.000617385,0.146944018,-0.10190135
812,5.236572006,5.261644744,-0.025072738,0.000628642,0.210701312,-0.102826192
697,5.026872146,5.091159465,-0.064287319,0.004132859,0.194340064,-0.263649718
375,4.30980392,4.334377165,-0.024573245,0.000603844,0.300485893,-0.100777714
1632,5.623423043,5.648217593,-0.02479455,0.00061477,0.167321918,-0.101685313
284,8.443697499,8.468554608,-0.024857109,0.000617876,0.082384561,-0.101941875
1394,7.397940009,7.372889097,0.025050912,0.000627548,0.182577466,0.102736682
1413,7.397940009,7.373030938,0.024909071,0.000620462,0.196259591,0.102154976
772,5.508638306,5.484128049,0.024510257,0.000600753,0.166691194,0.100519397
729,5.30980392,5.334565445,-0.024761525,0.000613133,0.13354197,-0.101549876
769,5.30980392,5.284847459,0.024956461,0.000622825,0.269729549,0.10234933
1371,5.657577319,5.682388133,-0.024810814,0.000615577,0.159465574,-0.101752016
929,5.173925197,5.198415953,-0.024490756,0.000599797,0.172359022,-0.100439421
1028,6.397940009,6.373212548,0.024727461,0.000611447,0.256977565,0.101410175
852,4.690369833,4.715315561,-0.024945728,0.000622289,0.257939555,-0.10230531
1229,5.657577319,5.682399614,-0.024822295,0.000616146,0.17569391,-0.101799098
603,5.372634143,5.347610565,0.025023578,0.000626179,0.120846106,0.102624585
1645,5.099086932,5.151908128,-0.052821196,0.002790079,0.171759978,-0.216625826
1555,5.236572006,5.26132544,-0.024753434,0.000612732,0.163365735,-0.101516692
327,8.744727495,8.719895855,0.02483164,0.00061661,0.111335898,0.101837424
1502,5.145693958,5.170550804,-0.024856846,0.000617863,0.217621679,-0.101940797
237,5.140861703,5.116107292,0.024754411,0.000612781,0.152941756,0.101520698
1499,5.229884705,5.254553336,-0.024668631,0.000608541,0.218218284,-0.101168903
363,5.590404981,5.615426436,-0.025021455,0.000626073,0.259866581,-0.102615875
1603,6.119186408,6.094150185,0.025036223,0.000626812,0.188931285,0.102676441
650,5.026872146,5.051667548,-0.024795402,0.000614812,0.235793373,-0.101688808
234,4.605548319,4.606457418,-0.000909099,8.26E-07,0.136845737,-0.003728322
141,7.801342913,7.776309642,0.025033271,0.000626665,0.14321793,0.102664334
648,5.173925197,5.198754044,-0.024828847,0.000616472,0.124349746,-0.101825968
269,7.15490196,7.179944057,-0.025042097,0.000627107,0.191945506,-0.102700533
1649,5.675717545,5.934786263,-0.259068718,0.067116601,0.209752098,-1.062470733
1162,8.397940009,8.372978003,0.024962006,0.000623102,0.130034298,0.10237207
937,5.30980392,5.334353503,-0.024549583,0.000602682,0.213050513,-0.100680677
195,7.488116639,7.513216626,-0.025099987,0.000630009,0.22062936,-0.102937947
1013,5.026872146,5.06517428,-0.038302134,0.001467053,0.234071685,-0.157081476
1117,6.397940009,6.422787205,-0.024847196,0.000617383,0.148581649,-0.101901222
1462,6.397940009,6.372942664,0.024997345,0.000624867,0.128709121,0.102516999
1662,5.162411562,5.187170359,-0.024758797,0.000612998,0.157589532,-0.101538686
1257,6.397940009,6.42300084,-0.025060831,0.000628045,0.192788291,-0.102777363
794,5.236572006,5.211468904,0.025103102,0.000630166,0.144709582,0.10295072
294,6.962573502,6.937516066,0.025057436,0.000627875,0.131910749,0.102763439
1014,5.070581074,5.095182082,-0.024601008,0.00060521,0.251435019,-0.100891576
1658,8.397940009,8.373013459,0.02492655,0.000621333,0.201228843,0.102226661
691,5.30980392,5.334985722,-0.025181802,0.000634123,0.154250166,-0.103273479
301,7.809668302,7.834447465,-0.024779163,0.000614007,0.114989071,-0.101622209
461,5.149966742,5.124898905,0.025067837,0.000628396,0.186507657,0.102806094
698,5.657577319,5.632512994,0.025064325,0.00062822,0.15983347,0.102791691
1626,5.191789027,5.216852613,-0.025063586,0.000628183,0.245813976,-0.102788662
701,5.657577319,5.682613871,-0.025036552,0.000626829,0.187291179,-0.102677791
299,8.37675071,8.401910005,-0.025159295,0.00063299,0.09947267,-0.103181174
107,7.269217724,7.294379647,-0.025161923,0.000633122,0.102248079,-0.103191951
1600,5.397940009,5.373392349,0.02454766,0.000602588,0.27136725,0.100672788
1053,5.397940009,5.42265716,-0.024717151,0.000610938,0.195821483,-0.101367893
1030,6.397940009,6.373444318,0.024495691,0.000600039,0.228372736,0.100459659
889,5.236572006,5.261691305,-0.025119299,0.000630979,0.163677673,-0.103017146
51,7.607303047,7.64375897,-0.036455923,0.001329034,0.134064217,-0.149509951
228,6.522878745,6.497862264,0.025016481,0.000625824,0.328013597,0.102595477
1592,6.119186408,6.125167504,-0.005981096,3.58E-05,0.18488547,-0.024529164
1212,6.397940009,6.373082499,0.02485751,0.000617896,0.138103053,0.101943521
681,5.657577319,5.680740498,-0.023163179,0.000536533,0.185603101,-0.094994872
793,5.070581074,5.095302668,-0.024721594,0.000611157,0.281947658,-0.101386113
659,5.397940009,5.422482105,-0.024542096,0.000602314,0.160697779,-0.10064997
1576,5.342944147,5.368018911,-0.025074764,0.000628744,0.204169105,-0.102834501
1531,5.317854924,5.315384894,0.00247003,6.10E-06,0.163931648,0.010129878
971,5.070581074,5.045423424,0.02515765,0.000632907,0.225941478,0.103174427
1392,7.397940009,7.373100618,0.024839391,0.000616995,0.204525046,0.10186921
1069,5.886056648,5.910682275,-0.024625627,0.000606422,0.17483643,-0.10099254
1332,7.397940009,7.373003416,0.024936593,0.000621834,0.153585279,0.102267849
443,5.254925208,4.717214963,0.537710245,0.289132308,0.162812143,2.205211817
52,7.872895202,7.895073786,-0.022178584,0.00049189,0.1430756,-0.090956934
256,5.576754126,5.551816013,0.024938113,0.000621909,0.230554357,0.102274082
751,5.508638306,5.533495546,-0.02485724,0.000617882,0.148683948,-0.101942412
1561,5.484126156,5.509348031,-0.025221875,0.000636143,0.217659095,-0.103437823
1279,6.397940009,6.217007582,0.180932427,0.032736543,0.172569356,0.74202478
647,5.508638306,5.483738035,0.024900271,0.000620023,0.155364961,0.102118886
786,6.397940009,6.37292472,0.025015289,0.000625765,0.198389815,0.102590589
1202,5.173925197,5.199153142,-0.025227945,0.000636449,0.230352786,-0.103462715
1288,5.30980392,5.334842992,-0.025039072,0.000626955,0.169733115,-0.102688127
557,5.49757288,5.473070428,0.024502452,0.00060037,0.227567592,0.100487386
689,7.397940009,6.684423153,0.713516856,0.509106304,0.165952941,2.926215033
637,5.508638306,5.533407906,-0.0247696,0.000613533,0.165494675,-0.10158299
544,6.59345982,6.568649968,0.024809852,0.000615529,0.228101489,0.101748068
300,7.876148359,7.85129163,0.024856729,0.000617857,0.123240823,0.101940316
1306,5.886056648,6.390808749,-0.504752101,0.254774683,0.148397151,-2.07004666
1044,8.397940009,7.882417833,0.515522176,0.265763114,0.198615885,2.114215985
628,5.173925197,5.198445767,-0.02452057,0.000601258,0.217321481,-0.100561691
882,5.060480747,5.085663968,-0.025183221,0.000634195,0.200422406,-0.103279298
1231,5.657577319,5.6821345,-0.024557181,0.000603055,0.190559383,-0.100711834
1146,5.119186408,5.144032116,-0.024845708,0.000617309,0.22634278,-0.101895117
185,7.576754126,7.623118217,-0.046364091,0.002149629,0.076680346,-0.190144493
1388,5.886056648,5.910554847,-0.024498199,0.000600162,0.25616496,-0.100469944
1266,5.657577319,5.682036705,-0.024459386,0.000598262,0.162961068,-0.100310767
758,5.070581074,5.095378456,-0.024797382,0.00061491,0.149898387,-0.101696928
32,6.262807357,6.28775977,-0.024952413,0.000622623,0.227728579,-0.102332729
1530,5.735182177,5.71004271,0.025139467,0.000631993,0.176500813,0.103099858
514,6.259637311,6.234819638,0.024817673,0.000615917,0.158160299,0.101780142
684,5.397940009,5.422556416,-0.024616407,0.000605967,0.231857246,-0.100954728
1614,5.351639989,5.376562179,-0.02492219,0.000621116,0.18035626,-0.102208779
41,7.413412695,7.438382161,-0.024969466,0.000623474,0.089454719,-0.102402665
1086,8.397940009,7.89600584,0.501934169,0.25193791,0.215072885,2.058489998
651,5.657577319,5.682704454,-0.025127135,0.000631373,0.170486891,-0.103049284
943,5.397940009,5.391473928,0.006466081,4.18E-05,0.154680964,0.026518144
202,7.031517051,7.056515074,-0.024998023,0.000624901,0.171910683,-0.102519779
591,5.360513511,5.335493843,0.025019668,0.000625984,0.222636762,0.102608547
1425,5.508638306,5.533212386,-0.02457408,0.000603885,0.252128218,-0.10078114
804,5.236572006,5.261393951,-0.024821945,0.000616129,0.257113348,-0.101797664
207,7.091514981,7.1871438,-0.095628819,0.009144871,0.125474904,-0.392184832
877,5.142667504,5.167899658,-0.025232154,0.000636662,0.184675954,-0.103479978
1359,6.397940009,6.422646118,-0.024706109,0.000610392,0.177836236,-0.101322605
161,7.950781977,7.925791493,0.024990484,0.000624524,0.249804829,0.102488863
642,5.119186408,5.143746088,-0.02455968,0.000603178,0.267074315,-0.100722085
987,8.397940009,8.241015723,0.156924286,0.024625232,0.160846383,0.643564621
