STT,0,1,clusters,SMILES,pIC50,Molecule
37,17.14971,13.441116,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.420216403,<rdkit.Chem.rdchem.Mol object at 0x000002B570D76F10>
38,18.828495,14.955639,0,COC1=CC=C(N(CC2=CC=C(F)C=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.408935393,<rdkit.Chem.rdchem.Mol object at 0x000002B570D76EA0>
39,19.88098,10.679717,0,O=C(NCCCN1C(C)=CN=C1)N(C2=CC=CC=C2)C3=CC=C(OCCN4CCNCC4)C(OC)=C3,8.408935393,<rdkit.Chem.rdchem.Mol object at 0x000002B570D76E30>
40,10.128735,6.4536133,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCCCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.397940009,<rdkit.Chem.rdchem.Mol object at 0x000002B570D76DC0>
100,26.218533,12.313988,0,COC1=CC=C(N(CC2CCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.387216143,<rdkit.Chem.rdchem.Mol object at 0x000002B570D75380>
102,20.609533,4.1629176,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,8.37675071,<rdkit.Chem.rdchem.Mol object at 0x000002B570D752A0>
103,14.424898,10.229157,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,8.366531544,<rdkit.Chem.rdchem.Mol object at 0x000002B570D75230>
104,16.897503,13.78499,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,8.356547324,<rdkit.Chem.rdchem.Mol object at 0x000002B570D751C0>
107,22.787199,5.6969666,0,COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.346787486,<rdkit.Chem.rdchem.Mol object at 0x000002B570D75070>
109,25.9294,14.094971,0,COC1=CC=C(N(CC2=CC=CC=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.337242168,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74F90>
110,25.611647,8.927529,0,COC1=CC=C(N(C2CCCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.327902142,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74F20>
111,16.207916,5.673395,0,O=C(NCCCN1C(C)=CN=C1)N(C2CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.327902142,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74EB0>
114,18.649265,10.642509,0,O=C(NCCCN1C(C)=CN=C1)N(CC)C2=CC=C(OCCN3CCNCC3)C(OC)=C2,8.318758763,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74D60>
115,16.245724,5.443073,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.301029996,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74CF0>
116,26.462294,14.176458,0,COC1=CC=C(N(C(NCCCN2C=NC=C2C)=S)CC3=CC=C(Cl)C=C3)C=C1OC,8.283996656,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74C80>
118,25.48167,14.303823,0,COC1=CC=C(N(CC2=CC=CN=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.26760624,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74BA0>
121,20.566698,9.579545,0,O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCN3CCNCC3)C(OC)=C2,8.259637311,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74A50>
122,26.037878,13.880371,0,COC1=CC=C(N(CC2=CC=NC=C2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.251811973,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74430>
125,22.93404,4.9149523,0,COC1=CC=C(N(C(NCCCN2C=NC=C2C)=O)C3CCN(C)CC3)C=C1OC,8.214670165,<rdkit.Chem.rdchem.Mol object at 0x000002B570D742E0>
127,19.940966,12.92649,0,COC1=CC=C(N(CC2CCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.207608311,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74350>
129,25.609537,8.998046,0,COC1=CC=C(N(C2CCCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.187086643,<rdkit.Chem.rdchem.Mol object at 0x000002B570D747B0>
130,25.394365,12.799472,0,COC1=CC=C(N(CC(C)C)C(NCCCN2C=NC=C2C)=S)C=C1OC,8.167491087,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74510>
132,16.320536,5.1972594,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.161150909,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74580>
137,14.845382,6.3734818,0,O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,8.13667714,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74190>
140,24.684662,4.6239767,0,COC1=CC=C(N(C2CCN(CC3=CC=CC=C3)CC2)C(NCCCN4C=NC=C4C)=O)C=C1OC,8.124938737,<rdkit.Chem.rdchem.Mol object at 0x000002B570D746D0>
141,21.24257,14.44407,0,COC1=CC=C(N(CC(C)C)C(NCCCN2C=NC=C2C)=O)C=C1OC,8.119186408,<rdkit.Chem.rdchem.Mol object at 0x000002B570D74740>
142,12.8608,1.8773878,0,O=C(NCCCN1C(C)=CN=C1)C2(CC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.119186408,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2FF0>
150,14.943898,12.657953,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,8.102372909,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2C70>
152,23.853785,6.213314,0,COC1=CC=C(N(C2CCNCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.086186148,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2B90>
156,25.598326,9.170043,0,COC1=CC=C(N(C2CCC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,8.065501549,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA29D0>
157,21.199543,4.984796,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN(C)C)C(OC)=C3,8.065501549,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2960>
159,18.084213,15.47669,0,COC1=CC=C(N(CC2=CC=CN=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,8.060480747,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2880>
162,25.517252,12.796389,0,CC1=CN=CN1CCCNC(N(CC)C2=CC(OC)=C(OC)C=C2)=S,8.055517328,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2730>
163,13.75503,5.783563,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)C,8.050609993,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA26C0>
164,20.948097,6.553539,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCCCC2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,8.050609993,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2650>
168,9.61893,6.343666,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.045757491,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2490>
171,14.635176,6.888121,0,O=C(NCCCN1C(C)=CN=C1)N(C)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,8.036212173,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA2340>
172,15.44479,7.3979936,0,O=C(NCCCN1C(C)=CN=C1)N(C2=CC=CC=C2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,8.031517051,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA22D0>
174,8.633378,8.0391655,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC3=CN=CC=C3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.022276395,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA21F0>
177,10.024509,5.8489785,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCN(C)CC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,8.004364805,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA20A0>
181,12.909972,1.7861071,0,O=C(NCCCN1C(C)=CN=C1)C2(CCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,7.962573502,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1EE0>
183,19.500309,15.425009,0,COC1=CC=C(N(CC2=CC=NC=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.958607315,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1E00>
184,13.631944,6.380496,0,S=C(NCCCN1C(C)=CN=C1)N(C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2)CC,7.958607315,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1D90>
190,15.047044,13.04005,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCCN(C)C)C(OC)=C3,7.924453039,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1AF0>
194,24.678356,11.707732,0,COC1=CC=C(N(C)C(NCCCN2C=NC=C2C)=S)C=C1OC,7.906578315,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1930>
197,19.150097,15.496251,0,COC1=CC=C(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=C(Cl)C=C3)C=C1OC,7.903089987,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA17E0>
198,8.76054,6.705589,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C(C)C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.899629455,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1770>
199,9.984337,6.486302,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,7.899629455,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1700>
201,15.979189,14.57042,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCCCN(C)C)C(OC)=C3,7.89279003,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1620>
203,19.912132,16.00012,0,COC1=CC=C(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=CC(Cl)=C3)C=C1OC,7.88941029,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1540>
206,19.599743,15.240401,0,COC1=CC=C(N(CC2=CC=CC=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.876148359,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA13F0>
207,20.209589,5.184257,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN(C)C)C(OC)=C3,7.876148359,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1380>
210,19.071661,9.667969,0,O=C(NCCCN1C(C)=CN=C1)N(C)C2=CC=C(OCCN3CCNCC3)C(OC)=C2,7.872895202,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1230>
211,24.796587,4.4595094,0,COC1=CC=C(N(C2CCN(CC3=CC=C(F)C=C3)CC2)C(NCCCN4C=NC=C4C)=O)C=C1OC,7.866461092,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA11C0>
215,14.308421,7.643547,0,O=C(NCCCN1C(C)=CN=C1)N(CC)C2=CC=C(OCCCCC3=CC(N)=NC=C3)C(OC)=C2,7.847711656,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA1000>
217,15.235936,2.1070545,0,CC(C)(C1=CC=C(OCCCCC2=CC(N)=NC=C2)C(OC)=C1)C(NCCCN3C(C)=CN=C3)=O,7.835647144,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0F20>
221,22.468348,15.6866045,0,COC1=CC=C(N(CCN2CCNCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.823908741,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0D60>
223,19.071966,9.385052,0,O=C(NCCCN1C(C)=CN=C1)N(C)C2=CC=C(OCCN3CCOCC3)C(OC)=C2,7.821023053,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0C80>
226,19.9982,4.883531,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCCN(C)C)C(OC)=C3,7.809668302,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0B30>
233,23.544039,4.1627436,0,COC1=C(OC)C=CC(N(C(NCCCN2C=NC=C2C)=O)C3CCN(C4=CC=CC=C4)CC3)=C1,7.785156152,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0820>
238,9.761814,7.5870786,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC3CCCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,7.76700389,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA05F0>
242,22.22332,10.113833,0,COC1=CC=C(N(C(C)C)C(NCCCN2C=NC=C2C)=O)C=C1OC,7.756961951,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA0430>
243,19.793999,16.698608,0,CC1=CN=CN1CCCNC(N(CC2=CC=NC(N)=C2)C3=CC=C(OC)C(OC)=C3)=O,7.754487332,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA03C0>
245,15.273736,12.956128,0,O=C(NCCCN1C=NC=C1C)N(CC2=CC=C(F)C=C2)C3=CC=C(OCCN(C)C)C(OC)=C3,7.73754891,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA02E0>
250,5.6103,-7.6653314,0,O=C(NCCCN1C(C)=CN=C1)NC2=CC=C(OCCN3CCOCC3)C(OC)=C2,7.728158393,<rdkit.Chem.rdchem.Mol object at 0x000002B570DA00B0>
254,16.454218,14.717735,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCN(C)C)C(OC)=C3,7.714442691,<rdkit.Chem.rdchem.Mol object at 0x000002B570AAC430>
256,23.089489,5.8907576,0,COC1=CC=C(N(C2CCCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.71219827,<rdkit.Chem.rdchem.Mol object at 0x000002B570CCFD10>
258,9.557703,5.9920826,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C3CCNCC3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,7.698970004,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9A10>
261,20.044468,15.983285,0,COC1=CC(N(CC2=CC(F)=CC=C2)C(NCCCN3C=NC=C3C)=O)=CC=C1OC,7.688246139,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9B60>
263,20.770573,9.384169,0,O=C(NCCCN1C(C)=CN=C1)N(C(C)C)C2=CC=C(OCCN3CCOCC3)C(OC)=C2,7.681936665,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9C40>
265,8.921595,8.020028,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC3=CC=CC=C3)C4=CC=C(OCCCCC5=CC=NC(N)=C5)C(OC)=C4,7.66756154,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9D20>
269,13.868558,-0.75987214,0,O=C(NCCCN1C(C)=CN=C1)C2(CCCC2)C3=CC=C(OC)C(OC)=C3,7.640164518,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9EE0>
270,24.953932,5.078707,0,CC1=CN=CN1CCCNC(N(C2CCN(CC3=CC=CN=C3)CC2)C4=CC=C(OC)C(OC)=C4)=O,7.632644079,<rdkit.Chem.rdchem.Mol object at 0x000002B5022D9F50>
273,18.827776,16.354483,0,CC1=CN=CN1CCCNC(N(CC2=CC=C(N)N=C2)C3=CC=C(OC)C(OC)=C3)=O,7.628932138,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA0A0>
274,12.910043,1.7615733,0,O=C(NCCCN1C(C)=CN=C1)C2(CCCC2)C3=CC=C(OCCCCC4=CC(N)=NC=C4)C(OC)=C3,7.623423043,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA110>
275,7.7289057,6.6130996,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)C(C)(C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.619788758,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA180>
276,13.945821,-0.8399604,0,O=C(NCCCN1C(C)=CN=C1)C2(CC2)C3=CC=C(OC)C(OC)=C3,7.614393726,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA1F0>
279,22.459541,15.695837,0,COC1=CC=C(N(CCN2CCOCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.602059991,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA340>
280,25.653854,9.309175,0,COC1=CC=C(N(C2CC2)C(NCCCN3C=NC=C3C)=S)C=C1OC,7.591760035,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA3B0>
282,9.11709,7.3774505,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(CC)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.585026652,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA490>
284,23.288311,5.7217793,0,COC1=CC=C(N(C2CCC2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.576754126,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA570>
286,21.136269,14.315783,0,COC1=CC=C(N(CC)C(NCCCN2C=NC=C2C)=O)C=C1OC,7.568636236,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA650>
287,7.928847,5.9407334,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)NC3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.567030709,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA6C0>
290,18.530186,16.319359,0,COC1=C(OC)C=CC(N(C(NCCCN2C=NC=C2C)=O)CC3=CC=C(F)N=C3)=C1,7.514278574,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA810>
292,18.73231,16.478241,0,O=C(N(CC1=CC=C(Cl)N=C1)C2=CC(OC)=C(OC)C=C2)NCCCN3C=NC=C3C,7.488116639,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA8F0>
293,19.917196,6.3150005,0,O=C(NCCCN1C(C)=CN=C1)N(C2CCN(C)CC2)C3=CC=C(OCCN4CCOCC4)C(OC)=C3,7.48148606,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA960>
294,16.1486,14.681024,0,O=C(NCCCN1C=NC=C1C)N(CC2=CN=CC=C2)C3=CC=C(OCCCN(C)C)C(OC)=C3,7.467245621,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DA9D0>
297,8.615456,6.9549255,0,O=C(NCCCC1=CC(N=CN2)=C2C=C1)N(C)C3=CC=C(OCCCCC4=CC=NC(N)=C4)C(OC)=C3,7.447331784,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DAB20>
298,21.569809,17.389147,0,COC1=CC=C(N(CCC2=CC=NC(N)=C2)C(NCCCN3C=NC=C3C)=O)C=C1OC,7.432973634,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DAB90>
299,13.895586,-0.77505827,0,O=C(NCCCN1C(C)=CN=C1)C2(CCC2)C3=CC=C(OC)C(OC)=C3,7.43062609,<rdkit.Chem.rdchem.Mol object at 0x000002B5022DAC00>
